
آبتنی کردن	آبتنی بکن	V;2;SG;IMP
آبتنی کردن	آبتنی بکن	V;2;SG;IMP;COL
آبتنی کردن	آبتنی بکنی	V;2;SG;SBJV;PRS
آبتنی کردن	آبتنی بکنی	V;2;SG;SBJV;PRS;COL
آبتنی کردن	آبتنی بکنید	V;2;PL;IMP
آبتنی کردن	آبتنی بکنید	V;2;PL;SBJV;PRS
آبتنی کردن	آبتنی بکند	V;3;SG;SBJV;PRS
آبتنی کردن	آبتنی بکنیم	V;1;PL;SBJV;PRS
آبتنی کردن	آبتنی بکنیم	V;1;PL;SBJV;PRS;COL
آبتنی کردن	آبتنی بکنم	V;1;SG;SBJV;PRS
آبتنی کردن	آبتنی بکنم	V;1;SG;SBJV;PRS;COL
آبتنی کردن	آبتنی بکنین	V;2;PL;IMP;COL
آبتنی کردن	آبتنی بکنین	V;2;PL;SBJV;PRS;COL
آبتنی کردن	آبتنی بکنن	V;3;PL;SBJV;PRS;COL
آبتنی کردن	آبتنی بکنند	V;3;PL;SBJV;PRS
آبتنی کردن	آبتنی بکنه	V;3;SG;SBJV;PRS;COL
آبتنی کردن	آبتنی خواهید کرد	V;2;PL;FUT
آبتنی کردن	آبتنی خواهد کرد	V;3;SG;FUT
آبتنی کردن	آبتنی خواهی کرد	V;2;SG;FUT
آبتنی کردن	آبتنی خواهیم کرد	V;1;PL;FUT
آبتنی کردن	آبتنی خواهم کرد	V;1;SG;FUT
آبتنی کردن	آبتنی خواهند کرد	V;3;PL;FUT
آبتنی کردن	آبتنی کردی	V;2;SG;PST
آبتنی کردن	آبتنی کردی	V;2;SG;PST;COL
آبتنی کردن	آبتنی کرد	V;3;SG;PST
آبتنی کردن	آبتنی کرد	V;3;SG;PST;COL
آبتنی کردن	آبتنی کردید	V;2;PL;PST
آبتنی کردن	آبتنی کردیم	V;1;PL;PST
آبتنی کردن	آبتنی کردیم	V;1;PL;PST;COL
آبتنی کردن	آبتنی کردم	V;1;SG;PST
آبتنی کردن	آبتنی کردم	V;1;SG;PST;COL
آبتنی کردن	آبتنی کردین	V;2;PL;PST;COL
آبتنی کردن	آبتنی کردن	V;3;PL;PST;COL
آبتنی کردن	آبتنی کردن	V;NFIN
آبتنی کردن	آبتنی کردن	V;NFIN;COL
آبتنی کردن	آبتنی کردند	V;3;PL;PST
آبتنی کردن	آبتنی کرده	V;3;SG;PRS;PRF;COL
آبتنی کردن	آبتنی کرده	V;V.PTCP;PST
آبتنی کردن	آبتنی کرده	V;V.PTCP;PST;COL
آبتنی کردن	آبتنی کردهای	V;2;SG;PRS;PRF
آبتنی کردن	آبتنی کردهای	V;2;SG;PRS;PRF;COL
آبتنی کردن	آبتنی کردهاید	V;2;PL;PRS;PRF
آبتنی کردن	آبتنی کرده است	V;3;SG;PRS;PRF
آبتنی کردن	آبتنی کردهایم	V;1;PL;PRS;PRF
آبتنی کردن	آبتنی کردهایم	V;1;PL;PRS;PRF;COL
آبتنی کردن	آبتنی کردهام	V;1;SG;PRS;PRF
آبتنی کردن	آبتنی کردهام	V;1;SG;PRS;PRF;COL
آبتنی کردن	آبتنی کردهاین	V;2;PL;PRS;PRF;COL
آبتنی کردن	آبتنی کردهان	V;3;PL;PRS;PRF;COL
آبتنی کردن	آبتنی کردهاند	V;3;PL;PRS;PRF
آبتنی کردن	آبتنی کرده باشی	V;2;SG;SBJV;PST
آبتنی کردن	آبتنی کرده باشی	V;2;SG;SBJV;PST;COL
آبتنی کردن	آبتنی کرده باشید	V;2;PL;SBJV;PST
آبتنی کردن	آبتنی کرده باشد	V;3;SG;SBJV;PST
آبتنی کردن	آبتنی کرده باشیم	V;1;PL;SBJV;PST
آبتنی کردن	آبتنی کرده باشیم	V;1;PL;SBJV;PST;COL
آبتنی کردن	آبتنی کرده باشم	V;1;SG;SBJV;PST
آبتنی کردن	آبتنی کرده باشم	V;1;SG;SBJV;PST;COL
آبتنی کردن	آبتنی کرده باشین	V;2;PL;SBJV;PST;COL
آبتنی کردن	آبتنی کرده باشن	V;3;PL;SBJV;PST;COL
آبتنی کردن	آبتنی کرده باشند	V;3;PL;SBJV;PST
آبتنی کردن	آبتنی کرده باشه	V;3;SG;SBJV;PST;COL
آبتنی کردن	آبتنی کرده بودی	V;2;SG;PST;PRF
آبتنی کردن	آبتنی کرده بودی	V;2;SG;PST;PRF;COL
آبتنی کردن	آبتنی کرده بود	V;3;SG;PST;PRF
آبتنی کردن	آبتنی کرده بود	V;3;SG;PST;PRF;COL
آبتنی کردن	آبتنی کرده بودید	V;2;PL;PST;PRF
آبتنی کردن	آبتنی کرده بودیم	V;1;PL;PST;PRF
آبتنی کردن	آبتنی کرده بودیم	V;1;PL;PST;PRF;COL
آبتنی کردن	آبتنی کرده بودم	V;1;SG;PST;PRF
آبتنی کردن	آبتنی کرده بودم	V;1;SG;PST;PRF;COL
آبتنی کردن	آبتنی کرده بودین	V;2;PL;PST;PRF;COL
آبتنی کردن	آبتنی کرده بودن	V;3;PL;PST;PRF;COL
آبتنی کردن	آبتنی کرده بودند	V;3;PL;PST;PRF
آبتنی کردن	آبتنی کنی	V;2;SG;PFV
آبتنی کردن	آبتنی کنی	V;2;SG;PFV;COL
آبتنی کردن	آبتنی کنید	V;2;PL;PFV
آبتنی کردن	آبتنی کند	V;3;SG;PFV
آبتنی کردن	آبتنی کنیم	V;1;PL;PFV
آبتنی کردن	آبتنی کنیم	V;1;PL;PFV;COL
آبتنی کردن	آبتنی کنم	V;1;SG;PFV
آبتنی کردن	آبتنی کنم	V;1;SG;PFV;COL
آبتنی کردن	آبتنی کنین	V;2;PL;PFV;COL
آبتنی کردن	آبتنی کنن	V;3;PL;PFV;COL
آبتنی کردن	آبتنی کنند	V;3;PL;PFV
آبتنی کردن	آبتنی کننده	V;V.PTCP;PRS
آبتنی کردن	آبتنی کننده	V;V.PTCP;PRS;COL
آبتنی کردن	آبتنی کنه	V;3;SG;PFV;COL
آبتنی کردن	آبتنی میکردی	V;2;SG;PST;IPFV
آبتنی کردن	آبتنی میکردی	V;2;SG;PST;IPFV;COL
آبتنی کردن	آبتنی میکرد	V;3;SG;PST;IPFV
آبتنی کردن	آبتنی میکرد	V;3;SG;PST;IPFV;COL
آبتنی کردن	آبتنی میکردید	V;2;PL;PST;IPFV
آبتنی کردن	آبتنی میکردیم	V;1;PL;PST;IPFV
آبتنی کردن	آبتنی میکردیم	V;1;PL;PST;IPFV;COL
آبتنی کردن	آبتنی میکردم	V;1;SG;PST;IPFV
آبتنی کردن	آبتنی میکردم	V;1;SG;PST;IPFV;COL
آبتنی کردن	آبتنی میکردین	V;2;PL;PST;IPFV;COL
آبتنی کردن	آبتنی میکردن	V;3;PL;PST;IPFV;COL
آبتنی کردن	آبتنی میکردند	V;3;PL;PST;IPFV
آبتنی کردن	آبتنی میکنی	V;2;SG;PRS;IPFV
آبتنی کردن	آبتنی میکنی	V;2;SG;PRS;IPFV;COL
آبتنی کردن	آبتنی میکنید	V;2;PL;PRS;IPFV
آبتنی کردن	آبتنی میکند	V;3;SG;PRS;IPFV
آبتنی کردن	آبتنی میکنیم	V;1;PL;PRS;IPFV
آبتنی کردن	آبتنی میکنیم	V;1;PL;PRS;IPFV;COL
آبتنی کردن	آبتنی میکنم	V;1;SG;PRS;IPFV
آبتنی کردن	آبتنی میکنم	V;1;SG;PRS;IPFV;COL
آبتنی کردن	آبتنی میکنین	V;2;PL;PRS;IPFV;COL
آبتنی کردن	آبتنی میکنن	V;3;PL;PRS;IPFV;COL
آبتنی کردن	آبتنی میکنند	V;3;PL;PRS;IPFV
آبتنی کردن	آبتنی میکنه	V;3;SG;PRS;IPFV;COL
آبتنی کردن	داری آبتنی میکنی	V;2;SG;PRS;PROG
آبتنی کردن	داری آبتنی میکنی	V;2;SG;PRS;PROG;COL
آبتنی کردن	دارید آبتنی میکنید	V;2;PL;PRS;PROG
آبتنی کردن	دارد آبتنی میکند	V;3;SG;PRS;PROG
آبتنی کردن	داریم آبتنی میکنیم	V;1;PL;PRS;PROG
آبتنی کردن	داریم آبتنی میکنیم	V;1;PL;PRS;PROG;COL
آبتنی کردن	دارم آبتنی میکنم	V;1;SG;PRS;PROG
آبتنی کردن	دارم آبتنی میکنم	V;1;SG;PRS;PROG;COL
آبتنی کردن	دارین آبتنی میکنین	V;2;PL;PRS;PROG;COL
آبتنی کردن	دارن آبتنی میکنن	V;3;PL;PRS;PROG;COL
آبتنی کردن	دارند آبتنی میکنند	V;3;PL;PRS;PROG
آبتنی کردن	داره آبتنی میکنه	V;3;SG;PRS;PROG;COL
آبتنی کردن	داشتی آبتنی میکردی	V;2;SG;PST;PROG
آبتنی کردن	داشتی آبتنی میکردی	V;2;SG;PST;PROG;COL
آبتنی کردن	داشت آبتنی میکرد	V;3;SG;PST;PROG
آبتنی کردن	داشت آبتنی میکرد	V;3;SG;PST;PROG;COL
آبتنی کردن	داشتید آبتنی میکردید	V;2;PL;PST;PROG
آبتنی کردن	داشتیم آبتنی میکردیم	V;1;PL;PST;PROG
آبتنی کردن	داشتیم آبتنی میکردیم	V;1;PL;PST;PROG;COL
آبتنی کردن	داشتم آبتنی میکردم	V;1;SG;PST;PROG
آبتنی کردن	داشتم آبتنی میکردم	V;1;SG;PST;PROG;COL
آبتنی کردن	داشتین آبتنی میکردین	V;2;PL;PST;PROG;COL
آبتنی کردن	داشتن آبتنی میکردن	V;3;PL;PST;PROG;COL
آبتنی کردن	داشتند آبتنی میکردند	V;3;PL;PST;PROG
اتراق کردن	اتراق بکن	V;2;SG;IMP
اتراق کردن	اتراق بکن	V;2;SG;IMP;COL
اتراق کردن	اتراق بکنی	V;2;SG;SBJV;PRS
اتراق کردن	اتراق بکنی	V;2;SG;SBJV;PRS;COL
اتراق کردن	اتراق بکنید	V;2;PL;IMP
اتراق کردن	اتراق بکنید	V;2;PL;SBJV;PRS
اتراق کردن	اتراق بکند	V;3;SG;SBJV;PRS
اتراق کردن	اتراق بکنیم	V;1;PL;SBJV;PRS
اتراق کردن	اتراق بکنیم	V;1;PL;SBJV;PRS;COL
اتراق کردن	اتراق بکنم	V;1;SG;SBJV;PRS
اتراق کردن	اتراق بکنم	V;1;SG;SBJV;PRS;COL
اتراق کردن	اتراق بکنین	V;2;PL;IMP;COL
اتراق کردن	اتراق بکنین	V;2;PL;SBJV;PRS;COL
اتراق کردن	اتراق بکنن	V;3;PL;SBJV;PRS;COL
اتراق کردن	اتراق بکنند	V;3;PL;SBJV;PRS
اتراق کردن	اتراق بکنه	V;3;SG;SBJV;PRS;COL
اتراق کردن	اتراق خواهید کرد	V;2;PL;FUT
اتراق کردن	اتراق خواهد کرد	V;3;SG;FUT
اتراق کردن	اتراق خواهی کرد	V;2;SG;FUT
اتراق کردن	اتراق خواهیم کرد	V;1;PL;FUT
اتراق کردن	اتراق خواهم کرد	V;1;SG;FUT
اتراق کردن	اتراق خواهند کرد	V;3;PL;FUT
اتراق کردن	اتراق کردی	V;2;SG;PST
اتراق کردن	اتراق کردی	V;2;SG;PST;COL
اتراق کردن	اتراق کرد	V;3;SG;PST
اتراق کردن	اتراق کرد	V;3;SG;PST;COL
اتراق کردن	اتراق کردید	V;2;PL;PST
اتراق کردن	اتراق کردیم	V;1;PL;PST
اتراق کردن	اتراق کردیم	V;1;PL;PST;COL
اتراق کردن	اتراق کردم	V;1;SG;PST
اتراق کردن	اتراق کردم	V;1;SG;PST;COL
اتراق کردن	اتراق کردین	V;2;PL;PST;COL
